,ADF,,,,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLAAGF,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,VDV,,,,WPMC,,,,IMF,,,,MEI
,"3rd Battalion, RAR Battle Group",,,,"2nd Battalion, Parachute Regiment Battle Group",,,,"3rd Battalion, RCR Battle Group",,,,91st Air Assault Battalion,,,,161st Air Assault Brigade,,,,,,,,4th Special Combat Battalion,,,,,,,,1st Commando Brigade Battle Group,,,,"1st Brigade Combat Team, 82nd Airborne Division",,,,217th Guards Airborne Regiment,,,,Murk Water Air Wing,,,,,,,,
Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HX60 Transport (6min),,,1,HX60 Transport (6min),,,2,LUVW Transport (6min),,,1,Ural4320 Transport (6min),,,1,CTM-131 QJZ-89 (6min),,,,,,,1,CTM-131 QJZ89 (6min),,,,,,,1,BMC Transport (6min),,,1,M939 Transport (6min),,,1,Kamaz Transport (6min),,,1,M939 Transport (6min),,,,,,,
,2,HX60 Transport,,,2,HX60 Transport,,,2,MSVS Transport,,,2,Ural4320 Transport,,,2,CTM-131 QJZ-89,,,,,,,2,CTM-131 QJZ89,,,,,,,2,BMC Transport,,,2,M939 Transport,,,2,Kamaz Transport,,,4,CPV Transport,,,,,,,
,2,HX60 Logi,,,2,HX60 Logi,,,3,LUVW Logi,,,3,Simir Logi,,,2,CTM-131 Logi,,,,,,,2,CTM-131 Logi,,,,,,,2,BMC Logi,,,2,M939 Logi,,,3,BTR-DG Logi,,,2,M939 Logi,,,,,,,
,4,PMV,,,4,LPPV,,,5,LUVW C6,,,3,Simir MG3,,,2,CSK QJY-88,,,,,,,2,CSK QJY-88,,,,,,,2,Cobra II MG3,,,2,M1151 M240,,,3,Tigr KORD,,,1,Technical M2,,,,,,,
,1,PMV RWS,,,1,LPPV RWS,,,1,TAPV,,,3,Simir Kord,,,3,CSK QJZ-89,,,,,,,2,CSK QJZ-89,,,,,,,2,Cobra II M2,,,2,M1151 M2,,,1,BRDM-2,,,1,Technical M134,,,,,,,
,,,,,,,,,,,,,1,BRDM-2,,,1,CSK RWS,,,,,,,1,CSK RWS,,,,,,,1,Cobra II M2 RWS,,,1,M1151 Mk19,,,,,,,2,Technical Mortar,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M1151 M2 CROWS,,,,,,,1,M113A3 MSV,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M1151 M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CPV M134,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M1117,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,Total,,,10,Total,,,13,Total,,,13,Total,,,11,Total,,,,,,,10,Total,,,,,,,10,Total,,,11,Total,,,10,Total,,,17,Total,,,,,,,
Tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,M1A1 (30min),,,1,FV4034 (30min),,,1,Leopard 2A6M (30min),,,1,T62 (20min),,,1,ZTZ-99A (30min),,,,,,,2,ZTD05 (20min),,,,,,,1,M60T (20min),,,1,M1A2 (30min),,,2,Sprut (20min),,,1,M60T (20min),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,,,,,2,Total,,,,,,,1,Total,,,1,Total,,,2,Total,,,1,Total,,,,,,,
Heli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MRH90,,,3,SA330,,,3,CH146,,,3,Mi17,,,3,Z-8G,,,,,,,3,Z-8J,,,,,,,3,UH60,,,3,UH60,,,3,Mi8,,,2,Raven,,,,,,,
,1,UH60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Loach CAS (6min),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Loach Scout,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Total,,,3,Total,,,3,Total,,,3,Total,,,3,Total,,,,,,,3,Total,,,,,,,3,Total,,,3,Total,,,3,Total,,,3,Total,,,,,,,
Boats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,,,,,1,RHIB 7.62,,,,,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB M134,,,,,,,
,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,,,,,2,RHIB .50 cal,,,,,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,1,RHIB Mk19,,,,,,,
,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,,,,,1,RHIB Logi,,,,,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB .50 cal,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,RHIB Logi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,RHIB Logi,,,,,,,,,,,
,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,,,,,4,Total,,,,,,,4,Total,,,4,Total,,,3,Total,,,3,Total,,,,,,,
Special Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extra ATGM,,,,Extra ATGM,,,,Extra ATGM,,,,Extra ATGM,,,,Extra ATGM,,,,,,,,Extra ATGM,,,,,,,,Extra ATGM,,,,Extra ATGM,,,,Extra ATGM,,,,Extra ATGM,,,,,,,
,,Extra HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,,,,,Extra HAT roles,,,,,,,,Access to HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,,,,
,,AGL Emplacements,,,,AGL Emplacements,,,,AGL Emplacements,,,,,,,,,,,,,,,,,,,,,,,,AGL Emplacements,,,,AGL Emplacements,,,,AS VAL Marksman,,,,AGL Emplacements,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppressed M110 Marksman,,,,,,,,No FOB Mortars,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,AGL Tripod,,,2,AGL Tripod,,,2,AGL Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,,,,,2,HMG Tripod,,,,,,,2,AGL Tripod,,,2,AGL Tripod,,,2,HMG Tripod,,,2,AGL Tripod,,,,,,,
,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,,,,,2,HMG Bunker,,,,,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Tripod,,,,,,,
,2, ATGM,,,2, ATGM,,,2,ATGM,,,2, ATGM,,,2, ATGM,,,,,,,2, ATGM,,,,,,,2, ATGM,,,2, ATGM,,,2, ATGM,,,2,HMG Bunker,,,,,,,
,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,,,,,2,Mortar,,,,,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2, ATGM,,,,,,,
,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,,,,,1,HAB,,,,,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,,,,,
