,PLAAGF,,,,PLANMC,,,,RGF,,,,USMC,,,,VDV,
,14th Amphibious Combined Arms Brigade,,,,5th Marine Brigade,,,,336th Guards Naval Infantry Brigade,,,,4th Marines Amphibious Ready Group,,,,7th Guards Mountain Air Assault Division,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,3,ZSD05 Logi,,,3,ZSD05 Logi,,,3,MTLB Logi,,,3,AAVC Logi,,,3,BTR-DG Logi
,2,ZSD05 QJZ-89,,,2,ZSD05 QJZ-89,,,2,BRDM-2,,,3,AAVP,,,1,BTR-D KORD
,3,ZBD05,,,3,ZBD05,,,2,BTR80,,,4,LAV25,,,1,BTR-ZD
,3,ZTD05,,,3,ZTD05,,,2,BTR82A,,,,,,,1,BTR-MDM
,,,,,,,,,2,BMP-3M ,,,,,,,3,BMD-4M
,,,,,,,,,,,,,,,,,2,Sprut-SDM1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,11,Total,,,11,Total,,,11,Total,,,10,Total,,,11,Total
Forward Spawns,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2,CSK QJZ-89,,,2,CSK QJZ-89,,,2,Tigr KORD,,,1,M1151 M2,,,2,BRDM-2
,1,ZTZ-99A,,,1,CTM Logi,,,1,T72B3,,,1,M1151 Mk19,,,1,T72B3
,,,,,,,,,,,,,1,M1A1,,,,
,,,,,,,,,,,,,,,,,,
,3,Total,,,3,Total,,,3,Total,,,2,Total,,,3,Total
Helicopters,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2,Z-8G,,,2,Z-8J,,,2,Mi8,,,2,UH1Y,,,2,Mi8
,,,,,,,,,,,,,,,,,,
,2,Total,,,2,Total,,,2,Total,,,2,Total,,,2,Total
Boats,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,2,RHIB Mk19,,,1,RHIB 7.62
,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,1,RHIB .50 cal,,,2,RHIB .50 cal
,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi
,,,,,,,,,,,,,,,,,,
,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total
Special Characteristics,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,None,,,,None,,,,None,,,,None,,,,AS VAL Marksman
,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod
,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker
,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM
,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar
,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB
