,ADF,,,,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLAAGF,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,VDV,,,,WPMC,,,,IMF,,,,INS,
,3rd Brigade Battle Group,,,,3rd Division Battle Group,,,,1 Canadian Mechanized Brigade Group,,,,"1st Battalion, Legion of Babylon",,,,118th Combined Arms Brigade,,,,14th Amphibious Combined Arms Brigade,,,,5th Marine Combined Arms Brigade,,,,49th Combined Arms Army,,,,1st Army Battle Group,,,,"3rd Brigade Combat Team, 1st Infantry Division",,,,31st Marine Expeditionary Unit,,,,7th Guards Mountain Air Assault Division,,,,Manticore Security Task Force,,,,Irregular Battle Group,,,,Irregular Battle Group,
Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HX60 Transport (6min),,,1,HX60 Transport (6min),,,1,MSVS Transport (6min),,,1,Ural4320 Transport (6min),,,1,CTM-131 QJZ-89 (6min),,,1,CTM-131 QJZ-89 (6min),,,1,CTM-131 QJZ-89 (6min),,,1,Kamaz Transport (6min),,,1,BMC Transport (6min),,,1,M939 Transport (6min),,,1,M939 Transport (6min),,,1,Kamaz Transport (6min),,,1,M939 Transport (6min),,,1,Ural375 Transport (6min),,,1,Ural375 Transport (6min)
,2,HX60 Transport,,,2,HX60 Transport,,,2,MSVS Transport,,,2,Ural4320 Transport,,,2,CTM-131 QJZ-89,,,2,CTM-131 QJZ-89,,,2,CTM-131 QJZ-89,,,2,Kamaz Transport,,,2,BMC Transport,,,2,M939 Transport,,,2,M939 Transport,,,2,Kamaz Transport,,,4,CPV Transport,,,2,Ural375 Transport,,,2,Ural375 Transport
,2,HX60 Logi,,,2,HX60 Logi,,,2,MSVS Logi,,,2,Ural4320 Logi,,,2,CTM-131 Logi,,,2,CTM-131 Logi,,,2,CTM-131 Logi,,,2,Kamaz Logi,,,2,BMC Logi,,,2,M939 Logi,,,1,M939 Logi,,,1,Kamaz Logi,,,1,M939 Logi,,,3,Minsk,,,3,Minsk
,2,PMV,,,1,LPPV RWS M2,,,2,LUVW C6,,,1,Simir Logi,,,2,CSK QJZ-89,,,2,ZSD05 Logi,,,2,ZSD Logi,,,2,Tigr,,,2,Cobra II M2,,,2,MATV M2,,,2,AAVC Logi,,,2,BTR-DG Logi,,,2,Technical Logi,,,2,Ural375 Logi,,,3,Ural375 Logi
,1,PMV RWS (M113AS4),,,1,FV510 (15min),,,1,TAPV,,,3,Simir KORD,,,1,CSK RWS,,,2,ZSD05 QJZ-89,,,1,ZSD APC,,,1,Tigr RWS,,,1,Cobra II M2 RWS,,,1,MATV CROWS M2,,,2,M1151 M2,,,1,BTR-D KORD,,,1,M113A3 M2,,,3,Technical Logi,,,2,Modern Technical Logi
,2,ASLAV (15min),,,1,FV510 UA (15min),,,2,LAV6 (15min),,,2,BRDM-2,,,1,ZBL08 (15min),,,1,ZBD05 (15min),,,1,ZBD05 (15min),,,1,BTR82A (15min),,,1,ACV-15 IFV (15min),,,1,M1126 (15min),,,2,AAVP,,,1,BTR-ZD,,,1,M113A3 MSV (10min),,,1,Armored Technical HMG,,,1,Technical HMG
,,,,,,,,,,,,,1,BMP1 (15min),,,1,ZBD04A (15min),,,1,ZTD05 (15min),,,3,ZTD05 (15min),,,1,BMP2 (15min),,,1,PARS III IFV (15min),,,1,M2A3 (15min),,,2,LAV-25 (15min),,,1,BTR-MDM,,,2,CPV M134,,,1,Technical SPG9,,,1,M1151 DSHK
