,ADF,,,,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLAAGF,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,VDV,,,,WPMC,,,,IMF,,,,INS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3rd Brigade Battle Group,,,,3rd Division Battle Group,,,,1 Canadian Mechanized Brigade Group,,,,"1st Battalion, Legion of Babylon",,,,118th Combined Arms Brigade,,,,14th Amphibious Combined Arms Brigade,,,,5th Marine Combined Arms Brigade,,,,49th Combined Arms Army,,,,1st Army Battle Group,,,,"3rd Brigade Combat Team, 1st Infantry Division",,,,31st Marine Expeditionary Unit,,,,7th Guards Mountain Air Assault Division,,,,Manticore Security Task Force,,,,Irregular Battle Group,,,,Irregular Battle Group,
Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HX60 Transport (6min),,,1,HX60 Transport (6min),,,1,MSVS Transport (6min),,,1,Ural4320 Transport (6min),,,1,CTM-131 QJZ-89 (6min),,,1,CTM-131 QJZ-89 (6min),,,1,CTM-131 QJZ-89 (6min),,,1,Kamaz Transport (6min),,,1,BMC Transport (6min),,,1,M939 Transport (6min),,,1,M939 Transport (6min),,,1,Kamaz Transport (6min),,,1,M939 Transport (6min),,,1,Ural375 Transport (6min),,,1,Ural375 Transport (6min)
,2,HX60 Transport,,,2,HX60 Transport,,,2,MSVS Transport,,,2,Ural4320 Transport,,,2,CTM-131 QJZ-89,,,2,CTM-131 QJZ-89,,,2,CTM-131 QJZ-89,,,2,Kamaz Transport,,,2,BMC Transport,,,2,M939 Transport,,,2,M939 Transport,,,2,Kamaz Transport,,,4,CPV Transport,,,2,Ural375 Transport,,,2,Ural375 Transport
,2,HX60 Logi,,,2,HX60 Logi,,,2,MSVS Logi,,,2,Ural4320 Logi,,,2,CTM-131 Logi,,,1,CTM-131 Logi,,,1,CTM-131 Logi,,,2,Kamaz Logi,,,2,BMC Logi,,,2,M939 Logi,,,1,M939 Logi,,,3,BTR-DG Logi,,,1,M939 Logi,,,3,Minsk,,,3,Minsk
,2,PMV,,,1,LPPV,,,2,LUVW C6,,,2,Simir Logi,,,2,CSK QJZ-89,,,2,ZSD Logi,,,2,ZSD Logi,,,2,Tigr,,,1,Cobra II M2,,,2,MATV M2,,,2,AAVC Logi,,,1,BTR-D KORD,,,2,Technical Logi,,,2,Ural375 Logi,,,3,Ural375 Logi
,1,PMV RWS (M113AS4),,,1,LPPV RWS,,,1,TAPV,,,3,Simir KORD,,,1,CSK RWS,,,2,ZSD APC,,,1,ZSD APC,,,1,Tigr RWS,,,1,Cobra II M2 RWS,,,1,MATV CROWS M2,,,2,M1151 M2,,,1,BTR-ZD,,,1,M113A3 MSV,,,3,Technical Logi,,,2,Technical Logi
,3,ASLAV,,,2,FV510,,,3,LAV6,,,2,BRDM-2,,,2,ZBL08,,,2,ZBD05 IFV,,,1,ZBD05 IFV,,,2,BTR82A,,,2,ACV-15 IFV,,,2,M1126,,,2,AAVP,,,1,BTR-MDM,,,1,M113A3 M2,,,1,Technical HMG,,,1,Technical HMG
