,ADF,,,,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLAAGF,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,VDV,,,,WPMC,,,,IMF,,,,INS,
,3rd Brigade Battle Group,,,,3rd Division Battle Group,,,,1 Canadian Mechanized Brigade Group,,,,"1st Battalion, Legion of Babylon",,,,118th Combined Arms Brigade,,,,14th Amphibious Combined Arms Brigade,,,,5th Marine Combined Arms Brigade,,,,49th Combined Arms Army,,,,1st Army Battle Group,,,,"3rd Brigade Combat Team, 1st Infantry Division",,,,31st Marine Expeditionary Unit,,,,7th Guards Mountain Air Assault Division,,,,Manticore Security Task Force,,,,Irregular Battle Group,,,,Irregular Battle Group,
Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HX60 Transport (6min),,,1,HX60 Transport (6min),,,1,MSVS Transport (6min),,,1,Ural4320 Transport (6min),,,1,CTM-131 QJZ-89 (6min),,,1,CTM-131 QJZ-89 (6min),,,1,CTM-131 QJZ-89 (6min),,,1,Kamaz Transport (6min),,,1,BMC Transport (6min),,,1,M939 Transport (6min),,,1,M939 Transport (6min),,,1,Kamaz Transport (6min),,,1,M939 Transport (6min),,,1,Ural375 Transport (6min),,,1,Ural375 Transport (6min)
,2,HX60 Transport,,,2,HX60 Transport,,,2,MSVS Transport,,,2,Ural4320 Transport,,,2,CTM-131 QJZ-89,,,2,CTM-131 QJZ-89,,,2,CTM-131 QJZ-89,,,2,Kamaz Transport,,,2,BMC Transport ,,,2,M939 Transport,,,2,M939 Transport,,,2,Kamaz Transport,,,4,CPV Transport,,,2,Ural375 Transport,,,2,Ural375 Transport
,2,HX60 Logi,,,2,HX60 Logi,,,2,MSVS Logi,,,1,Ural4320 Logi,,,2,CTM-131 Logi,,,1,CTM-131 Logi,,,1,CTM-131 Logi,,,2,Kamaz Logi,,,2,BMC Logi,,,2,M939 Logi,,,1,M939 Logi,,,1,Kamaz Logi,,,1,M939 Logi,,,3,Minsk,,,3,Minsk
,2,PMV,,,2,LPPV,,,2,LUVW C6,,,2,Simir Logi,,,2,CSK QJZ-89,,,1,ZSD Logi,,,1,ZSD05 Logi,,,2,Tigr,,,2,Cobra II M2,,,2,MATV M2,,,1,AAVC Logi,,,1,BTR-DG Logi,,,2,Technical Logi,,,2,Ural375 Logi,,,3,Ural375 Logi
,1,PMV M2,,,1,LPPV RWS M2,,,1,TAPV,,,3,Simir KORD,,,1,CSK RWS,,,2,ZSD05 QJZ-89,,,2,ZSD05 QJZ-89,,,1,Tigr RWS,,,1,Cobra II M2 RWS,,,1,MATV CROWS M2,,,1,M1151 M240,,,1,BTR-D KORD,,,1,CPV M134,,,2,Technical Logi,,,1,Technical HMG
,1,ASLAV (10min),,,1,FV510 UA (10min),,,1,LAV6 (10min),,,1,BRDM-2,,,1,ZBD04A (10min),,,1,ZBD05 IFV (10min),,,1,ZTD05 MGS (10min),,,1,BMP2 (10min),,,1,ACV-15 IFV (10min),,,1,M2A3 (10min),,,1,M1151 M2,,,1,BTR-MDM,,,2,M1151 M2,,,1,Technical HMG,,,1,M1151 DSHK
,,,,,,,,,,,,,1,BMP2 (10min),,,,,,,,,,,,,,,,,,,,,,,,,,,1,AAVP,,,1,BMD-4M (10min),,,1,M1117,,,1,Technical SPG9,,,1,BRDM-2
