,ADF,,,,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLAAGF,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,VDV,,,,WPMC,,,,IMF,,,,INS,
,3rd Brigade Battle Group,,,,3rd Division Battle Group,,,,1 Canadian Mechanized Brigade Group,,,,"1st Battalion, Legion of Babylon",,,,118th Combined Arms Brigade,,,,14th Amphibious Combined Arms Brigade,,,,5th Marine Combined Arms Brigade,,,,49th Combined Arms Army,,,,1st Army Battle Group,,,,"3rd Brigade Combat Team, 1st Infantry Division",,,,31st Marine Expeditionary Unit,,,,7th Guards Mountain Air Assault Division,,,,Manticore Security Task Force,,,,Irregular Battle Group,,,,Irregular Battle Group,
Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HX60 Transport (6min),,,1,HX60 Transport (6min),,,1,MSVS Transport (6min),,,1,Ural4320 Transport (6min),,,1,CTM-131 QJY-88 (6min),,,1,CTM-131 QJY-88 (6min),,,1,CTM-131 QJY-88 (6min),,,1,Kamaz Transport (6min),,,1,BMC Transport (6min),,,1,M939 Transport (6min),,,1,M939 Transport (6min),,,1,Kamaz Transport (6min),,,1,M939 Transport (6min),,,1,Ural375 Transport (6min),,,1,Ural375 Transport (6min)
,2,HX60 Transport,,,2,HX60 Transport,,,2,MSVS Transport,,,2,Ural4320 Transport,,,2,CTM-131 QJY-88,,,2,CTM-131 QJY-88,,,2,CTM-131 QJY-88,,,2,Kamaz Transport,,,2,BMC Transport ,,,2,M939 Transport,,,2,M939 Transport,,,2,Kamaz Transport,,,4,CPV Transport,,,2,Ural375 Transport,,,2,Ural375 Transport
,3,HX60 Logi,,,3,HX60 Logi,,,2,MSVS Logi,,,2,Ural4320 Logi,,,3,CTM-131 Logi,,,2,CTM-131 Logi,,,1,CTM-131 Logi,,,3,Kamaz Logi,,,3,BMC Logi,,,3,M939 Logi,,,2,M939 Logi,,,2,Kamaz Logi,,,2,M939 Logi,,,3,Minsk,,,3,Minsk
,2,PMV Mag58,,,2,LPPV GPMG,,,1,LUVW Logi,,,1,Simir Logi,,,2,CSK QJY-88,,,1,ZSD05 Logi,,,2,ZSD05 Logi,,,1,Tigr Kord,,,2,Cobra II MG3,,,2,MATV M240,,,1,AAVC Logi,,,1,BTR-DG Logi,,,1,Technical Logi,,,2,Ural375 Logi,,,2,Ural375 Logi
,,,,,,,,,2,LUVW C6,,,1,Simir KORD,,,,,,,1,CSK QJY-88,,,1,ZSD05 QJZ-89,,,,,,,,,,,,,,,2,M1151 M240,,,1,BTR-D Transport,,,1,M1151 M240,,,1,Technical Logi,,,1,Technical Logi
,,,,,,,,,,,,,1,Simir MG3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CPV M134,,,1,Technical HMG,,,1,Technical HMG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,IMF Tigr Kord,,,1,M1151 DSHK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Total,,,8,Total,,,8,Total,,,8,Total,,,8,Total,,,7,Total,,,7,Total,,,7,Total,,,8,Total,,,8,Total,,,8,Total,,,7,Total,,,10,Total,,,11,Total,,,11,Total
Special Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements,,,,No Weapon Emplacements
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB (100 points),,,2,HAB (100 points)
