,MEA,,,,PLA,,,,PLANMC,,,,RGF,,,,USA,,,,USMC,,,,WPMC,,,,IMF,,,,INS,
,4th Border Guards,,,,149th Combined Arms Brigade,,,,4th Marine Special Combat Battalion,,,,1398th Separate Reconnaissance Battalion,,,,"1st Brigade Combat Team, 10th Mountain Division",,,,1st Marines Regimental Combat Team,,,,Overwatch 6 Patrol Group,,,,Irregular Light Infantry,,,,Irregular Light Infantry,
Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Ural4320 Transport (6min),,,1,CTM131 QJZ89 (6min),,,1,CTM-131 QJZ-89 (6min),,,1,Kamaz Transport (6min),,,1,M939 Transport (6min),,,9,Quadbike,,,9,Quadbike,,,1,Ural375 Transport (6min),,,1,Ural375 Transport (6min)
,2,Ural4320 Transport,,,2,CTM131 QJZ89,,,2,CTM-131 QJZ-89,,,2,Kamaz Transport,,,2,M939 Transport,,,1,M939 Transport (6min),,,1,M939 Transport (6min),,,2,Ural375 Transport,,,2,Ural375 Transport
,5,Simir Logi,,,2,CTM131 Logi,,,2,CTM-131 Logi,,,2,Kamaz Logi,,,2,M939 Logi,,,2,M939 Transport,,,4,CPV Transport,,,5,Minsk,,,5,Minsk
,2,Simir MG3,,,2,CSK QJY88,,,2,CSK QJY88,,,2,Tigr Kord,,,9,Quadbike,,,2,M939 Logi,,,1,M939 Logi,,,2,Ural375 Logi,,,3,Ural375 Logi
,2,Simir Kord,,,2,CSK QJZ89,,,2,CSK QJZ89,,,2,Tigr RWS,,,2,MATV M240,,,4,MATV M2,,,2,Technical Logi,,,3,Technical Logi,,,2,Technical Logi
,2,BRDM-2,,,2,CSK RWS,,,2,CSK RWS QJZ89,,,1,BRDM-2,,,2,MATV M2,,,2,MATV Mk19,,,1,M113A3 MSV,,,4,Technical HMG,,,2,Technical HMG
,2,Simir Kornet,,,2,CSK HJ8,,,2,CSK HJ8,,,1,BRDM-2 Spandrel,,,2,MATV Mk19,,,2,MATV CROWS M2,,,3,Technical M2,,,2,Technical SPG9,,,2,M1151 DSHK
,,,,,,,,,,,,,,,,,2,MATV CROWS M2,,,3,MATV TOW,,,3,CPV M134,,,3,Technical Kornet,,,2,BRDM-2
,,,,,,,,,,,,,,,,,2,MATV TOW,,,,,,,2,Technical Mortar,,,1,BM21 Grad,,,2,Technical SPG9
,,,,,,,,,,,,,,,,,,,,,,,,,2,M1117,,,2,Ural ZU23,,,3,Technical Kornet
,,,,,,,,,,,,,,,,,,,,,,,,,2,M1151 TOW,,,,,,,1,Technical UB32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Ural Zu23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,Total,,,13,Total,,,13,Total,,,11,Total,,,24,Total,,,25,Total,,,30,Total,,,25,Total,,,27,Total
Tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,T-72S (20min),,,1,ZTZ-99A (20min),,,2,ZTD05 (20min),,,1,T90A (20min),,,1,M1A2 (20min),,,,,,,1,M60T (20min),,,1,T62 (20min),,,1,T62 (20min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,2,Total,,,1,Total,,,1,Total,,,0,Total,,,1,Total,,,1,Total,,,1,Total
Helicopters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Mi17,,,1,Z-8G,,,1,Z-8J,,,1,Mi8,,,1,UH60,,,1,UH1Y,,,1,Raven,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,Loach Scout,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,2,Total,,,0,Total,,,0,Total
Boats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB M134,,,1,RHIB 7.62,,,1,RHIB 7.62
,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,1,RHIB Mk19,,,2,RHIB .50 cal,,,2,RHIB .50 cal
