,ADF,,,,BAF,,,,CAF,,,,MEA,,,,PLAAGF,,,,RGF,,,,TLF,,,,USA,,,,VDV,,,,IMF,,,,INS,
,"1st Battalion, Royal Australian Regiment",,,,1 Yorks Battle Group,,,,"1st Battalion, Royal 22e Régiment",,,,3rd King Qadesh Mechanized Infantry Brigade,,,,4th Medium Combined Arms Battalion,,,,205th Separate Motor Rifle Brigade,,,,66th Mechanized Infantry Brigade Battle Group,,,,1st Cavalry Regiment,,,,108th Guards Air Assault Regiment,,,,Irregular Mechanized Platoon,,,,Irregular Mechanized Platoon,
Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HX60 Transport (6min),,,1,HX60 Transport (6min),,,1,MSVS Transport (6min),,,1,Ural4320 Transport (6min),,,1,CTM-131 QJZ-89 (6min),,,1,Kamaz Transport (6min),,,1,BMC Transport (6min),,,1,M939 Transport (6min),,,1,Kamaz Transport (6min),,,1,Ural375 Transport (6min),,,1,Ural375 Transport (6min)
,2,HX60 Transport,,,2,HX60 Transport,,,2,MSVS Transport,,,2,Ural4320 Transport,,,2,CTM-131 QJZ-89,,,2,Kamaz Transport,,,2,BMC Transport,,,2,M939 Transport,,,2,Kamaz Transport,,,2,Ural375 Transport,,,2,Ural375 Transport
,2,HX60 Logi,,,2,HX60 Logi,,,2,MSVS Logi,,,3,MTLB Logi,,,3,ZSD05 Logi,,,3,MTLB Logi,,,3,M113A2T Logi,,,3,M113A3 Logi,,,3,BTR-DG Logi,,,2,Ural375 Logi,,,3,Ural375 Logi
,2,PMV RWS,,,1,FV432,,,2,TAPV,,,2,MTLB 6MA,,,2,ZSD05 QJZ-89,,,1,MTLB PKT,,,1,ACV-15 MG3,,,2,M113A3 M2,,,1,BTR-D KORD,,,2,MTLB Logi,,,2,MTLB Logi
,4,ASLAV,,,1,FV432 RWS,,,3,LAV 6,,,2,BMP-1,,,2,ZBD05,,,1,MTLB VMK,,,1,ACV-15 M2,,,2,M113A3 Mk19,,,1,BTR-ZD,,,2,MTLB 6MB,,,1,MTLB PKT
,,,,,2,FV107,,,,,,,2,BMP-2,,,1,ZTD05,,,1,BMP-2M,,,2,M113A2T M120,,,2,M1064A3,,,1,BTR-MDM,,,1,BMP1,,,3,BMP
,,,,,1,FV510,,,,,,,,,,,,,,,2,BMP-3M,,,4,ACV-15 IFV,,,3,M2A3,,,3,BMD-4M,,,2,BMP2,,,2,MTLB ZU23
,,,,,2,FV510 UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTLB ZU23,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BM-21 Grad (10min),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Total,,,12,Total,,,10,Total,,,12,Total,,,11,Total,,,11,Total,,,14,Total,,,15,Total,,,12,Total,,,15,Total,,,14,Total
Tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,M1A1 (20min),,,1,FV4034 (20min),,,1,Leopard 2A6M (20min),,,1,T72S (20min),,,1,ZTZ-99A (20min),,,1,T72B3 (20min),,,2,M60T (15min),,,1,M1A2 (20min),,,1,T72B3 (20min),,,1,T62 (10min),,,1,T62 (10min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,2,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total
Helicopters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MRH90 (15min),,,1,SA330 (15min),,,1,CH146 (15min),,,1,Mi17 (15min),,,1,Z-8G (15min),,,1,Mi8 (15min),,,1,UH1H (15min),,,1,UH60 (15min),,,1,Mi8 (15min),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,0,Total,,,0,Total
Boats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62
,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal
,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total
Special Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,No FOB Mortars,,,,No FOB Mortars,,,,None,,,,None,,,,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,4,MG Tripod,,,4,MG Tripod
,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,3,SPG,,,3,SPG
,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,2,Mortar,,,2,Mortar
,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,1,HAB,,,1,HAB,,,2,Mortar,,,1,HAB (100 points),,,2,HAB (100 points)
,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,,,,,,,,,1,HAB,,,2,AA Gun,,,2,AA Gun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Field Gun,,,1,Hell Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UB32,,,,
