,,CAF,,,,PLA,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,IMF,,,,INS,
,,12th Armored Regiment of Canada,,,,112th Combined Arms Brigade,,,,7th Marine Medium Battalion,,,,3rd Motor Rifle Brigade,,,,51st Motorized Infantry Brigade Battle Group,,,,2nd Cavalry Stryker Brigade Combat Team,,,,3rd Light Armored Recon Battalion,,,,Irregular Motorized Platoon,,,,Irregular Motorized Platoon,
Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,MSVS Transport (6min),,,1,CTM-131 QJZ89 (6min),,,1,CTM-131 QJZ89 (6min),,,1,Kamaz Transport (6min),,,1,BMC Transport (6min),,,1,M939 Transport (6min),,,1,M939 Transport (6min),,,1,Ural375 Transport (6min),,,1,Ural375 Transport (6min)
,,2,MSVS Transport,,,2,CTM-131 QJZ89,,,2,CTM-131 QJZ89,,,2,Kamaz Transport,,,2,BMC Transport,,,2,M939 Transport,,,2,M939 Transport,,,2,Ural375 Transport,,,2,Ural375 Transport
,,1,MSVS Logi,,,2,CTM-131 Logi,,,2,CTM-131 Logi,,,2,Kamaz Logi,,,2,BMC Logi,,,2,M939 Logi,,,2,M939 Logi,,,3,Minsk,,,3,Minsk
,,2,LUVW Logi,,,2,CSK QJZ89,,,2,ZSL10 QZJ89,,,2,BRDM-2,,,1,PARS III Mk19,,,2,M1126 CROWS M240,,,2,M1151 M2,,,2,Ural375 Logi,,,3,Ural375 Logi
,,2,LUVW C6,,,2,ZSL10 QJZ89,,,2,ZBL08 (10min),,,1,BTR80,,,1,PARS III MG3,,,2,M1126 CROWS M2 (10min),,,2,M1151 M2 CROWS,,,3,Technical Logi,,,2,Technical Logi
,,1,TAPV,,,2,ZBL08 (10min),,,,,,,2,BTR82A (10min),,,1,PARS III M2,,,2,M1128  MGS (10min),,,2,LAV25 (10min),,,1,Technical HMG,,,1,Technical SPG9
,,1,LAV III C6,,,,,,,,,,,,,,,2,PARS III IFV (10min),,,,,,,,,,,1,Technical SPG9,,,2,M1151 DSHK
,,2,Coyote (10min),,,,,,,,,,,,,,,,,,,,,,,,,,,2,BRDM-2,,,2,BRDM-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Technical Kornet,,,1,Technical Kornet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BTR80,,,2,BTR80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,URAL ZU23,,,2,Technical BMP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BM-21 Grad (10min),,,2,Technical ZU23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Technical UB32 (10min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,Total,,,11,Total,,,9,Total,,,10,Total,,,10,Total,,,11,Total,,,11,Total,,,21,Total,,,24,Total
Single-Use Spawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,LUVW Logi,,,1,Logi,,,1,ZSD Logi,,,1,Kamaz Logi,,,1,BMC Logi,,,1,Logi,,,1,AAVC Logi,,,1,Technical Logi,,,1,Technical Logi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total
