,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,VDV,,,,IMF,,,,INS,
,Royal Logistic Corps Battle Group,,,,6 Canadian Combat Support Brigade,,,,Vizir Hussein 2nd Support Battalion,,,,80th Combined Arms Brigade,,,,17th Marine Support Battalion,,,,78th Detached Logistics Brigade,,,,Land Forces Logistics Command Battle Group,,,,497th Combat Sustainment Support Battalion,,,,2nd Marine Logistics Group,,,,150th Support Battalion,,,,Irregular Fire Support Group,,,,Irregular Fire Support Group,
Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HX60 Transport (6min),,,1,MSVS Transport (6min),,,1,Ural4320 Transport (6min),,,1,CTM-131 QJZ-89 (6min),,,1,CTM-131 QJZ-89 (6min),,,1,Kamaz Transport (6min),,,1,BMC Transport (6min),,,1,M939 Transport (6min),,,1,M939 Transport (6min),,,1,Kamaz Transport (6min),,,1,Ural375 Transport (6min),,,1,Ural375 Transport (6min)
,2,HX60 Transport,,,2,MSVS Transport,,,2,Ural4320 Transport,,,2,CTM-131 QJZ-89,,,2,CTM-131 QJZ-89,,,2,Kamaz Transport,,,3,BMC Transport,,,2,M939 Transport,,,2,M939 Transport,,,2,Kamaz Transport,,,2,Ural375 Transport,,,2,Ural375 Transport
,3,HX60 Logi,,,3,MSVS Logi,,,3,Ural4320 Logi,,,3,CTM-131 Logi,,,2,CTM-131 Logi,,,3,Kamaz Logi,,,3,BMC Logi,,,3,M939 Logi,,,3,M939 Logi,,,3,Kamaz Logi,,,3,Minsk,,,3,Minsk
,2,LPPV,,,2,LUVW C6,,,1,Simir Logi,,,2,CSK QJY88,,,2,ZSD05 Logi,,,2,Tigr KORD,,,2,Cobra II MG3,,,2,M1151 M2,,,2,M1151 M240,,,2,BTR-D KORD,,,3,Ural375 Logi,,,3,Ural375 Logi
,2,FV432,,,1,TAPV,,,2,Simir Kord,,,2,CSK QJZ89,,,2,ZSD05 QJZ-89,,,1,BRDM-2,,,2,Cobra II M2,,,2,MATV M2,,,2,M1151 M2,,,2,BTR-ZD,,,3,Technical Logi,,,3,Technical Logi
,1,FV432 RWS,,,1,LAV III C6,,,2,BRDM-2,,,2,ZSL10,,,2,ZSL10,,,1,MTLB 6MA,,,2,ACV-15 M2,,,2,M113A3 Mk19,,,2,AAVP,,,1,BTR-MDM,,,2,Technical HMG,,,2,Technical HMG
,2,FV107,,,1,TLAV,,,2,MTLB 6MA,,,1,ZBL08 (10min),,,1,ZBD05 (10min),,,2,MTLB 6MB (10min),,,2,M113A2T M120,,,2,M1064A3,,,1,LAV25 (10min),,,2,BMD-1M (10min),,,2,Technical SPG9,,,2,Technical SPG9
,1,FV510 (10min),,,1,Coyote (10min),,,2,BMP1 (10min),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTLB ZU23,,,2,Ural ZU23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BM-21 Grad (10min),,,2,BMP1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BMP1,,,2,Modern Technical UB32 (10min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,Total,,,12,Total,,,15,Total,,,13,Total,,,12,Total,,,12,Total,,,15,Total,,,14,Total,,,13,Total,,,13,Total,,,22,Total,,,22,Total
Single-Use Spawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
