,Battlegroup Type,Unit Name,Unit Icon,Battlegroup Description,Notes
ADF,,,,,
,Air Assault,"3rd Battalion, Royal Australian Regiment",,"The 3rd Battalion, Royal Australian Regiment (3RAR), is a respected infantry battalion within the Australian Army. Operating as an air assault unit, 3RAR specializes in rapid deployment and mobility. Known for its professionalism and adaptability, the battalion is trained to respond swiftly to various operational scenarios, both domestically and internationally. With a strong focus on training and readiness, 3RAR plays a crucial role in ensuring the security and defense of Australia, upholding the traditions of the Royal Australian Regiment.",
,Combined Arms,3rd Brigade Battle Group,,"The Australian 3rd Brigade is a dynamic and versatile formation within the Australian Army. Comprising a diverse range of combat units, this brigade is known for its adaptability and operational flexibility. With a mix of infantry, armored, and combat support elements, the 3rd Brigade is well-equipped to handle a wide array of missions, both at home and abroad. This diversity allows the brigade to effectively respond to various challenges, from conventional warfare to peacekeeping and humanitarian operations.",
,Mechanized,"1st Battalion, Royal Australian Regiment",,"The 1st Battalion, Royal Australian Regiment (1RAR), is a distinguished mechanized infantry battalion within the Australian Army, renowned for its combat proficiency and readiness. Comprising skilled soldiers, 1RAR excels in various infantry tactics, from peacekeeping to crisis response. With a rich heritage and unwavering commitment, the battalion plays a pivotal role in the nation's defense, exemplifying strength and capability within the Australian Defence Force.",
BAF,,,,,
,Air Assault,"2nd Battalion, Parachute Regiment",,"The 2nd Battalion, Parachute Regiment (2 PARA), is an elite unit within the British Armed Forces, specializing in airborne and parachute operations. Renowned for their rigorous training and combat effectiveness, the soldiers of 2 PARA are capable of rapid deployment and conducting a wide range of missions behind enemy lines. With a storied history that includes involvement in various conflicts and peacekeeping operations, 2 PARA remains a symbol of excellence and readiness, exemplifying the British military's commitment to precision and professionalism in airborne warfare.",
,Armored,Queen's Royal Hussars Battle Group,,"The Queen's Royal Hussars (QRH) is a prestigious cavalry regiment in the British Army, with a rich history dating back to 1993 when it was formed through the amalgamation of several hussar regiments. The QRH is known for its distinctive traditions, including their distinctive blue uniform and a reputation for excellence in armored and reconnaissance operations. Renowned for their expertise in operating tanks and reconnaissance vehicles, the Queen's Royal Hussars play a vital role in modern warfare, supporting the British Army's mission with their versatility, professionalism, and dedication.",
,Combined Arms,3rd Division Battle Group,,"The UK's 3rd Division is a versatile and vital formation within the British Army, composed of various combat arms units. With a rich history, it has played crucial roles in numerous conflicts and peacekeeping missions. This division remains at the forefront of the British Army's operational capabilities, exemplifying the nation's commitment to defense and security.
",
,Mechanized,1 Yorks Battle Group,,"The 1st Battalion, Royal Yorkshire Regiment, also known as 1 YORKS, is a distinguished mechanized infantry battalion within the British Army. It proudly carries forward a storied legacy with a history dating back centuries. Distinguished by its expertise in infantry tactics and equipped with Warrior Infantry Fighting Vehicles (IFVs), 1 YORKS is a highly adaptable and skilled unit. Whether engaged in peacekeeping missions or combat operations, the battalion exemplifies the values of courage and dedication that define the British Armed Forces while maintaining a cutting-edge capability with their mechanized infantry operations.
",
,Support,Royal Logistics Corps Battle Group,,"The Royal Logistics Corps (RLC) is a crucial part of the British Armed Forces, specializing in logistics and support operations. With a wide range of logistics expertise, the RLC ensures the efficient flow of supplies, equipment, and transportation to military units globally, enabling the British Armed Forces to carry out their missions effectively.",
CAF,,,,,
,Air Assault,"3rd Battalion, Royal Canadian Regiment",,"The 3rd Battalion, Royal Canadian Regiment (3RCR), is a respected light infantry battalion within the Canadian Armed Forces, known for its expertise in air mobility and air assault operations. Renowned for its combat effectiveness and professionalism, the battalion plays a pivotal role in Canada's defense and security. With a rich history and a commitment to excellence in light infantry tactics, 3RCR stands ready to serve the nation, capable of rapid deployment and maneuvering in a variety of operational scenarios, both at home and abroad.",
,Armored,Lord Strathcona's Horse Regiment,,"Lord Strathcona's Horse (Royal Canadians) is a distinguished armored regiment within the Canadian Armed Forces, known for its exceptional capabilities in armored warfare. Operating the formidable Leopard 2A6M CAN main battle tanks, the regiment is a formidable force, boasting cutting-edge firepower and protection. With a rich history and a commitment to excellence, Lord Strathcona's Horse stands ready to undertake a wide range of operational missions, ensuring the nation's defense and security, both domestically and on the international stage, with their advanced tank warfare expertise.",
