,Level,ID,Layer Name,Game Mode,Lighting,Tickets,Commander,Layer Size*,,Notes,,Totals,
,,,,,,,,,,,,,
,Al Basrah,1,AlBasrah_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,2,AlBasrah_AAS_v2,AAS,Daytime,250 v 250,Yes,Large,,,,Legend,Total
,,3,AlBasrah_AAS_v3_CL,AAS,Daytime,250 v 250,Yes,Large,,New for v10.3,,AAS,44
,,3,AlBasrah_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,Destruction,4
,,4,AlBasrah_Invasion_v2,Invasion,Daytime,250 v 800,Yes,Large,,,,Insurgency,9
,,5,AlBasrah_Invasion_v3,Invasion,Daytime,250 v 800,Yes,Large,,,,Invasion,41
,,6,AlBasrah_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,RAAS,38
,,7,AlBasrah_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,TC,19
,,8,AlBasrah_Seed_v1,Seed,Daytime,100 v 100,No,Small,,,,Training,11
,,9,AlBasrah_Seed_v2,Seed,Daytime,100 v 100,No,Small,,,,Seed,14
,,10,AlBasrah_Skirmish_v1,Skirmish,Daytime,150 v 150,No,Small,,,,Skirmish,32
,,11,AlBasrah_Skirmish_v2,Skirmish,Evening,150 v 150,No,Small,,,,TOTAL,212
,,12,AlBasrah_Skirmish_v3,TerritoryControl,Daytime,400 v 400,Yes,Large,,,,,
,,,,,,,,,,,,,
,Anvil,13,Anvil_AAS_v1,AAS,Daytime,200 v 200,Yes,Large,,,,,
,,14,Anvil_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,15,Anvil_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,NEW Map Layer,9
,,16,Anvil_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,Tickets Change,0
,,17,Anvil_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,Other Change,0
,v							,,,,,,,,,,,,
,Black Coast,18,BlackCoast_AAS_v1,AAS,Overcast,250 v 250,Yes,Large,,,,,
,,19,BlackCoast_AAS_v2,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,20,BlackCoast_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,21,BlackCoast_Invasion_v2,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,22,BlackCoast_Invasion_v3,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,23,BlackCoast_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,24,BlackCoast_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,25,BlackCoast_Seed_v1,Seed,Overcast,100 v 100,No,Small,,,,,
,,26,BlackCoast_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Medium,,,,,
,,,,,,,,,,,,,
,Chora,27,Chora_AAS_v1,AAS,Daytime,250 v 250,Yes,Medium,,,,,
,,28,Chora_AAS_v2,AAS,Daytime,250 v 250,Yes,Medium,,,,,
,,29,Chora_AAS_v3,AAS,Daytime,250 v 250,Yes,Medium,,,,,
,,30,Chora_Insurgency_v1,Insurgency,Daytime,200 v 1000,Yes,Medium,,,,,
,,31,Chora_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Medium,,,,,
,,32,Chora_Invasion_v2,Invasion,Evening,250 v 800,Yes,Medium,,,,,
,,33,Chora_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Medium,,,,,
,,34,Chora_Skirmish_v1,Skirmish,Daytime,150 v 150,No,Small,,,,,
,,35,Chora_TC_v1,TerritoryControl,Daytime,400 v 400,Yes,Medium,,,,,
,,,,,,,,,,,,,
,Fallujah,36,Fallujah_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,37,Fallujah_Insurgency_v1,Insurgency,Daytime,200 v 1000,Yes,Large,,,,,
,,38,Fallujah_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,39,Fallujah_Invasion_v2,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,40,Fallujah_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,41,Fallujah_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,42,Fallujah_Seed_v1,Seed,Daytime,100 v 100,No,Small,,,,,
,,43,Fallujah_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,44,Fallujah_Skirmish_v2,Skirmish,Sandstorm,200 v 200,No,Small,,,,,
,,45,Fallujah_TC_v1,TerritoryControl,Daytime,250 v 250,Yes,Large,,,,,
,,,,,,,,,,,,,
,Fools Road,46,FoolsRoad_AAS_v1,AAS,Daytime,250 v 250,Yes,Medium,,,,,
,,47,FoolsRoad_AAS_v2,AAS,Daytime,250 v 250,Yes,Medium,,,,,
,,48,FoolsRoad_Destruction_v1,Destruction,Daytime,200 v 1000,Yes,Medium,,,,,
,,49,FoolsRoad_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Medium,,,,,
,,50,FoolsRoad_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Medium,,,,,
,,51,FoolsRoad_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,52,FoolsRoad_Skirmish_v2,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,53,FoolsRoad_TC_v1,TerritoryControl,Daytime,400 v 400,Yes,Medium,,,,,
,,,,,,,,,,,,,
,Goose Bay,54,GooseBay_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,55,GooseBay_Invasion_v1,Invasion,Overcast,250 v 800,Yes,Large,,,,,
,,56,GooseBay_Invasion_v2,Invasion,Overcast,250 v 800,Yes,Large,,,,,
,,56,GooseBay_RAAS_v1,RAAS,Overcast,250 v 250,Yes,Large,,,,,
,,57,GooseBay_RAAS_v2,RAAS,Overcast,250 v 250,Yes,Large,,,,,
,,58,GooseBay_Seed_v1,Seed,Daytime,100 v 100,No,Small,,,,,
,,59,GooseBay_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,,,,,,,,,,,,
,Gorodok,60,Gorodok_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,61,Gorodok_Destruction_v1,Destruction,Daytime,200 v 1000,Yes,Large,,,,,
,,62,Gorodok_Insurgency_v1,Insurgency,Overcast,200 v 1000,Yes,Large,,,,,
,,63,Gorodok_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,64,Gorodok_Invasion_v2,Invasion,Overcast,250 v 800,Yes,Large,,,,,
,,65,Gorodok_Invasion_v3,Invasion,Overcast,250 v 800,Yes,Large,,New for v10.3,,,
,,66,Gorodok_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,67,Gorodok_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,68,Gorodok_Skirmish_v1,Skirmish,Overcast,200 v 200,No,Small,,,,,
,,69,Gorodok_TC_v1,TerritoryControl,Daytime,400 v 400,Yes,Large,,,,,
,,,,,,,,,,,,,
,Harju,70,Harju_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,71,Harju_AAS_v2,AAS,Daytime,250 v 250,Yes,Medium,,,,,
,,72,Harju_AAS_v3,AAS,Daytime,250 v 250,Yes,Medium,,,,,
,,73,Harju_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,74,Harju_Invasion_v2,Invasion,Overcast,250 v 800,Yes,Large,,,,,
,,75,Harju_Invasion_v3,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,76,Harju_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,77,Harju_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,77,Harju_RAAS_v3_CL,RAAS,Daytime,250 v 250,Yes,Large,,New for v10.3,,,
,,78,Harju_TC_v1,TerritoryControl,Overcast,400 v 400,Yes,Medium,,,,,
,,79,Harju_Seed_v1,Seed,Morning,100 v 100,No,Small,,,,,
,,80,Harju_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,81,Harju_Skirmish_v2,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,,,,,,,,,,,,
,Jensens Range,82,JensensRange_ADF-PLAAGF,Training,Daytime,99999 v 99999,Yes,Large,,New for v10.3,,,
,,83,JensensRange_AFU-RGF,Training,Daytime,99999 v 99999,Yes,Large,,,,,
,,84,JensensRange_BAF-IMF,Training,Daytime,99999 v 99999,Yes,Large,,,,,
,,85,JensensRange_CAF-MEI,Training,Daytime,99999 v 99999,Yes,Large,,,,,
,,86,JensensRange_CRF-VDV,Training,Daytime,99999 v 99999,Yes,Large,,,,,
,,87,JensensRange_USA-PLA,Training,Daytime,99999 v 99999,Yes,Large,,New for v10.3,,,
,,88,JensensRange_USMC-GFI,Training,Daytime,99999 v 99999,Yes,Large,,,,,
,,89,JensensRange_WPMC-TLF,Training,Daytime,99999 v 99999,Yes,Large,,,,,
,,,,,,,,,,,,,
,Kamdesh,90,Kamdesh_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,91,Kamdesh_Insurgency_v1,Insurgency,Daytime,200 v 1000,Yes,Large,,,,,
,,92,Kamdesh_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,93,Kamdesh_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,94,Kamdesh_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,95,Kamdesh_TC_v1,TerritoryControl,Overcast,400 v 400,Yes,Large,,,,,
,,,,,,,,,,,,,
,Kohat,96,Kohat_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,97,Kohat_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,98,Kohat_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,99,Kohat_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,100,Kohat_Insurgency_v1,Insurgency,Daytime,200 v 1000,Yes,Large,,,,,
,,101,Kohat_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,102,Kohat_Invasion_v2,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,103,Kohat_TC_v1,TerritoryControl,Daytime,400 v 400,Yes,Large,,,,,
,,,,,,,,,,,,,
,Kokan,104,Kokan_AAS_v1,AAS,Daytime,250 v 250,No,Medium,,,,,
,,105,Kokan_AAS_v2,AAS,Daytime,250 v 250,No,Medium,,,,,
,,106,Kokan_Insurgency_v1,Insurgency,Daytime,200 v 1000,No,Medium,,,,,
,,107,Kokan_Invasion_v1,Invasion,Daytime,250 v 800,No,Medium,,,,,
,,108,Kokan_RAAS_v1,RAAS,Daytime,250 v 250,No,Medium,,,,,
,,109,Kokan_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,110,Kokan_TC_v1,TerritoryControl,Daytime,400 v 400,No,Medium,,,,,
,,,,,,,,,,,,,
,Lashkar,111,Lashkar_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,112,Lashkar_AAS_v2,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,113,Lashkar_Insurgency_v1,Insurgency,Daytime,200 v 1000,Yes,Large,,,,,
,,114,Lashkar_Invasion_v1,Invasion,Daytime,250 v 900,Yes,Large,,,,,
,,115,Lashkar_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
